"_raw","_time","consecutive_failures","fail_user",host,index,"last_fail_time_epoch","last_fail_time_raw",linecount,source,sourcetype,"splunk_server","src_ip",status,"success_time_epoch","success_user","time_diff",username
"2025-05-15T18:28:40.541872+05:30 kali sshd-session[440976]: Failed password for kali from 192.168.1.7 port 36682 ssh2","2025-05-15T18:28:40.541+0530",10,kali,kali,"linux_logs",1747313920,"1747313920.454058",,"/var/log/auth.log",auth,KANHA,"192.168.1.7",failed,1747313921,,,kali
"2025-05-15T18:28:40.641550+05:30 kali sshd-session[440984]: Failed password for kali from 192.168.1.7 port 36760 ssh2","2025-05-15T18:28:40.641+0530",10,kali,kali,"linux_logs",1747313921,"1747313920.541872",,"/var/log/auth.log",auth,KANHA,"192.168.1.7",failed,1747313921,,,kali
"2025-05-15T18:28:40.657931+05:30 kali sshd-session[440988]: Failed password for kali from 192.168.1.7 port 36712 ssh2","2025-05-15T18:28:40.657+0530",10,kali,kali,"linux_logs",1747313921,"1747313920.641550",,"/var/log/auth.log",auth,KANHA,"192.168.1.7",failed,1747313921,,,kali
"2025-05-15T18:28:40.807420+05:30 kali sshd-session[440976]: Accepted password for kali from 192.168.1.7 port 36682 ssh2","2025-05-15T18:28:40.807+0530",10,,kali,"linux_logs",1747313921,"1747313920.657931",,"/var/log/auth.log",auth,KANHA,"192.168.1.7",success,1747313921,kali,,kali
